10 5 18 18 0
   1   2 A   3   4 B   5   6 C   7   8 D   9  10 E
   6   7 B   2   8 E   9   5 D   1   3 F  10   4 C
   5   3 E   7   1 C   9   4 F   8   6 G  10   2 D
   8   9 C   6   3 D   2   4 G   1   5 H  10   7 F
   1   4 D   8   5 F   7   2 H   9   6 I  10   3 G
   2   6 F   1   9 G   7   3 I   5   4 A   8  10 H
   7   5 G   4   6 H   8   3 A   9   2 B  10   1 I
   9   3 H   2   5 I   1   8 B   4   7 E  10   6 A
   4   8 I   9   7 A   6   1 E   2   3 C   5  10 B
   1   2 J   3   4 K   5   6 L   7   8 M   9  10 N
   7   6 K   8   1 N   9   5 M   3   2 O   4  10 L
   3   5 N   2   7 L   4   9 O   6   8 P   1  10 M
   9   8 L   6   3 M   4   1 P   2   5 Q   7  10 O
   2   4 M   8   5 O   1   7 Q   9   6 R  10   3 P
   1   6 O   9   2 P   7   3 R   4   5 J   8  10 Q
   7   5 P   6   4 Q   3   8 J   9   1 K  10   2 R
   9   3 Q   5   1 R   2   8 K   7   4 N  10   6 J
   8   4 R   9   7 J   6   2 N   1   3 L   5  10 K
