20 10 9 9 0
 1- 2:A  3- 4:B  5- 6:C  7- 8:D  9-10:E 11-12:F 13-14:G 15-16:H 17-18:I 19-20:A
18-12:A  8- 5:B  9- 7:C  4-10:D  6- 2:E 13-19:F  3- 1:G 20-17:H 11-15:I 14-16:B
14-15:A 19-18:B  4- 1:C 13-20:D 11-16:E  5- 2:F  7- 6:G  3-10:H  8- 9:I 12-17:C
16-17:A 11-20:B  8- 3:C  9- 6:D 15-13:E  1- 7:F  5-10:G  2- 4:H 19-12:I 18-14:D
11-13:A 12-15:B  2-10:C  1- 5:D  7- 3:E 16-18:F  4- 9:G  6- 8:H 20-14:I 17-19:E
 8-10:A  1- 6:B 18-13:C 12-16:D  4- 5:E  3- 9:F 11-17:G 19-14:H  2- 7:I 20-15:F
 7- 4:A 17-13:B 20-16:C 11-19:D 14-12:E  6-10:F  2- 8:G  9- 1:H  3- 5:I 15-18:G
 6- 3:A  9- 2:B 11-14:C 17-15:D 18-20:E  4- 8:F 16-19:G  5- 7:H  1-10:I 13-12:H
 5- 9:A  7-10:B 15-19:C  2- 3:D  8- 1:E 14-17:F 12-20:G 11-18:H  6- 4:I 16-13:I

Qf=39.81
