18 9 9 9 0
 1- 2:A  3- 4:B  5- 6:C  7- 8:D  9-10:E 11-12:F 13-14:G 15-16:H 17-18:I
17- 4:A  1- 6:B  3- 8:C  5-10:D  7-12:E  9-14:F 11-16:G 13-18:H 15- 2:I
15- 6:A 17- 8:B  1-10:C  3-12:D  5-14:E  7-16:F  9-18:G 11- 2:H 13- 4:I
13- 8:A 15-10:B 17-12:C  1-14:D  3-16:E  5-18:F  7- 2:G  9- 4:H 11- 6:I
11-10:A 13-12:B 15-14:C 17-16:D  1-18:E  3- 2:F  5- 4:G  7- 6:H  9- 8:I
 9-12:A 11-14:B 13-16:C 15-18:D 17- 2:E  1- 4:F  3- 6:G  5- 8:H  7-10:I
 7-14:A  9-16:B 11-18:C 13- 2:D 15- 4:E 17- 6:F  1- 8:G  3-10:H  5-12:I
 5-16:A  7-18:B  9- 2:C 11- 4:D 13- 6:E 15- 8:F 17-10:G  1-12:H  3-14:I
 3-18:A  5- 2:B  7- 4:C  9- 6:D 11- 8:E 13-10:F 15-12:G 17-14:H  1-16:I

Qf=47.53
