20 10 10 10 0
 1- 2:A  3- 4:B  5- 6:C  7- 8:D  9-10:E 11-12:F 13-14:G 15-16:H 17-18:I 19-20:J
 5- 4:A  1- 6:B  3- 2:C 19-18:D  7-20:E  9- 8:F 11-10:G 13-12:H 15-14:I 17-16:J
 3- 6:A  5- 2:B  1- 4:C 17-14:D 19-16:E  7-18:F  9-20:G 11- 8:H 13-10:I 15-12:J
13-20:A 17- 8:B  7-10:C  1-12:D 11- 2:E 15- 4:F 19- 6:G  9-18:H  3-16:I  5-14:J
15- 8:A 19-10:B  9-12:C  5-16:D  1-14:E 13- 2:F 17- 4:G  7- 6:H 11-20:I  3-18:J
17-10:A  7-12:B 11-14:C  3-20:D  5-18:E  1-16:F 15- 2:G 19- 4:H  9- 6:I 13- 8:J
19-12:A  9-14:B 13-16:C 15-10:D  3- 8:E  5-20:F  1-18:G 17- 2:H  7- 4:I 11- 6:J
 7-14:A 11-16:B 15-18:C 13- 6:D 17-12:E  3-10:F  5- 8:G  1-20:H 19- 2:I  9- 4:J
 9-16:A 13-18:B 17-20:C 11- 4:D 15- 6:E 19-14:F  3-12:G  5-10:H  1- 8:I  7- 2:J
11-18:A 15-20:B 19- 8:C  9- 2:D 13- 4:E 17- 6:F  7-16:G  3-14:H  5-12:I  1-10:J

Qf=47.78
