17 4 13 13 1 l
14 11 10  5 A  6 15  2  8 G  7  9 16 12 I  3  4 13 17 K
14 12 11  6 B  7 15  3  9 H  8 10 16 13 J  4  5  1 17 L
14 13 12  7 C  8 15  4 10 I  9 11 16  1 K  5  6  2 17 M
14  1 13  8 D  9 15  5 11 J 10 12 16  2 L  6  7  3 17 A
14  2  1  9 E 10 15  6 12 K 11 13 16  3 M  7  8  4 17 B
14  3  2 10 F 11 15  7 13 L 12  1 16  4 A  8  9  5 17 C
14  4  3 11 G 12 15  8  1 M 13  2 16  5 B  9 10  6 17 D
14  5  4 12 H 13 15  9  2 A  1  3 16  6 C 10 11  7 17 E
14  6  5 13 I  1 15 10  3 B  2  4 16  7 D 11 12  8 17 F
 1  6 14  7 J  4 11  2 15 C  8 16  3  5 E 17  9 12 13 G
 2  7 14  8 K  5 12  3 15 D  9 16  4  6 F 17 10 13  1 H
 3  8 14  9 L  6 13  4 15 E 10 16  5  7 G 17 11  1  2 I
 4  9 14 10 M  7  1  5 15 F 11 16  6  8 H 17 12  2  3 J
