24 6 11 11 1
24 13 23  6 A 14  2 17 12 A 15  1  4 19 A 16 18 10  9 A  7 20  8 11 A  5 21 22  3 A 
24 14  1  7 B 15  3 18 13 B 16  2  5 20 B 17 19 11 10 B  8 21  9 12 B  6 22 23  4 B 
24 15  2  8 C 16  4 19 14 C 17  3  6 21 C 18 20 12 11 C  9 22 10 13 C  7 23  1  5 C 
24 16  3  9 D 17  5 20 15 D 18  4  7 22 D 19 21 13 12 D 10 23 11 14 D  8  1  2  6 D 
24 17  4 10 E 18  6 21 16 E 19  5  8 23 E 20 22 14 13 E 11  1 12 15 E  9  2  3  7 E 
24 18  5 11 F 19  7 22 17 F 20  6  9  1 F 21 23 15 14 F 12  2 13 16 F 10  3  4  8 F 
24 19  6 12 G 20  8 23 18 G 21  7 10  2 G 22  1 16 15 G 13  3 14 17 G 11  4  5  9 G 
24 20  7 13 H 21  9  1 19 H 22  8 11  3 H 23  2 17 16 H 14  4 15 18 H 12  5  6 10 H 
24 21  8 14 I 22 10  2 20 I 23  9 12  4 I  1  3 18 17 I 15  5 16 19 I 13  6  7 11 I 
24 22  9 15 J 23 11  3 21 J  1 10 13  5 J  2  4 19 18 J 16  6 17 20 J 14  7  8 12 J 
24 23 10 16 K  1 12  4 22 K  2 11 14  6 K  3  5 20 19 K 17  7 18 21 K 15  8  9 13 K 
