41	10	41	41	1	g																																												
41	2	31	12	1	40	3	20	23	1	38	5	39	4	1	9	34	7	36	1	17	26	30	13	1	33	10	25	18	1	19	24	35	8	1	6	37	28	15	1	32	11	14	29	1	21	22	27	16	1
1	3	32	13	2	41	4	21	24	2	39	6	40	5	2	10	35	8	37	2	18	27	31	14	2	34	11	26	19	2	20	25	36	9	2	7	38	29	16	2	33	12	15	30	2	22	23	28	17	2
2	4	33	14	3	1	5	22	25	3	40	7	41	6	3	11	36	9	38	3	19	28	32	15	3	35	12	27	20	3	21	26	37	10	3	8	39	30	17	3	34	13	16	31	3	23	24	29	18	3
3	5	34	15	4	2	6	23	26	4	41	8	1	7	4	12	37	10	39	4	20	29	33	16	4	36	13	28	21	4	22	27	38	11	4	9	40	31	18	4	35	14	17	32	4	24	25	30	19	4
4	6	35	16	5	3	7	24	27	5	1	9	2	8	5	13	38	11	40	5	21	30	34	17	5	37	14	29	22	5	23	28	39	12	5	10	41	32	19	5	36	15	18	33	5	25	26	31	20	5
5	7	36	17	6	4	8	25	28	6	2	10	3	9	6	14	39	12	41	6	22	31	35	18	6	38	15	30	23	6	24	29	40	13	6	11	1	33	20	6	37	16	19	34	6	26	27	32	21	6
6	8	37	18	7	5	9	26	29	7	3	11	4	10	7	15	40	13	1	7	23	32	36	19	7	39	16	31	24	7	25	30	41	14	7	12	2	34	21	7	38	17	20	35	7	27	28	33	22	7
7	9	38	19	8	6	10	27	30	8	4	12	5	11	8	16	41	14	2	8	24	33	37	20	8	40	17	32	25	8	26	31	1	15	8	13	3	35	22	8	39	18	21	36	8	28	29	34	23	8
8	10	39	20	9	7	11	28	31	9	5	13	6	12	9	17	1	15	3	9	25	34	38	21	9	41	18	33	26	9	27	32	2	16	9	14	4	36	23	9	40	19	22	37	9	29	30	35	24	9
9	11	40	21	10	8	12	29	32	10	6	14	7	13	10	18	2	16	4	10	26	35	39	22	10	1	19	34	27	10	28	33	3	17	10	15	5	37	24	10	41	20	23	38	10	30	31	36	25	10
10	12	41	22	11	9	13	30	33	11	7	15	8	14	11	19	3	17	5	11	27	36	40	23	11	2	20	35	28	11	29	34	4	18	11	16	6	38	25	11	1	21	24	39	11	31	32	37	26	11
11	13	1	23	12	10	14	31	34	12	8	16	9	15	12	20	4	18	6	12	28	37	41	24	12	3	21	36	29	12	30	35	5	19	12	17	7	39	26	12	2	22	25	40	12	32	33	38	27	12
12	14	2	24	13	11	15	32	35	13	9	17	10	16	13	21	5	19	7	13	29	38	1	25	13	4	22	37	30	13	31	36	6	20	13	18	8	40	27	13	3	23	26	41	13	33	34	39	28	13
13	15	3	25	14	12	16	33	36	14	10	18	11	17	14	22	6	20	8	14	30	39	2	26	14	5	23	38	31	14	32	37	7	21	14	19	9	41	28	14	4	24	27	1	14	34	35	40	29	14
14	16	4	26	15	13	17	34	37	15	11	19	12	18	15	23	7	21	9	15	31	40	3	27	15	6	24	39	32	15	33	38	8	22	15	20	10	1	29	15	5	25	28	2	15	35	36	41	30	15
15	17	5	27	16	14	18	35	38	16	12	20	13	19	16	24	8	22	10	16	32	41	4	28	16	7	25	40	33	16	34	39	9	23	16	21	11	2	30	16	6	26	29	3	16	36	37	1	31	16
16	18	6	28	17	15	19	36	39	17	13	21	14	20	17	25	9	23	11	17	33	1	5	29	17	8	26	41	34	17	35	40	10	24	17	22	12	3	31	17	7	27	30	4	17	37	38	2	32	17
17	19	7	29	18	16	20	37	40	18	14	22	15	21	18	26	10	24	12	18	34	2	6	30	18	9	27	1	35	18	36	41	11	25	18	23	13	4	32	18	8	28	31	5	18	38	39	3	33	18
18	20	8	30	19	17	21	38	41	19	15	23	16	22	19	27	11	25	13	19	35	3	7	31	19	10	28	2	36	19	37	1	12	26	19	24	14	5	33	19	9	29	32	6	19	39	40	4	34	19
19	21	9	31	20	18	22	39	1	20	16	24	17	23	20	28	12	26	14	20	36	4	8	32	20	11	29	3	37	20	38	2	13	27	20	25	15	6	34	20	10	30	33	7	20	40	41	5	35	20
20	22	10	32	21	19	23	40	2	21	17	25	18	24	21	29	13	27	15	21	37	5	9	33	21	12	30	4	38	21	39	3	14	28	21	26	16	7	35	21	11	31	34	8	21	41	1	6	36	21
21	23	11	33	22	20	24	41	3	22	18	26	19	25	22	30	14	28	16	22	38	6	10	34	22	13	31	5	39	22	40	4	15	29	22	27	17	8	36	22	12	32	35	9	22	1	2	7	37	22
22	24	12	34	23	21	25	1	4	23	19	27	20	26	23	31	15	29	17	23	39	7	11	35	23	14	32	6	40	23	41	5	16	30	23	28	18	9	37	23	13	33	36	10	23	2	3	8	38	23
23	25	13	35	24	22	26	2	5	24	20	28	21	27	24	32	16	30	18	24	40	8	12	36	24	15	33	7	41	24	1	6	17	31	24	29	19	10	38	24	14	34	37	11	24	3	4	9	39	24
24	26	14	36	25	23	27	3	6	25	21	29	22	28	25	33	17	31	19	25	41	9	13	37	25	16	34	8	1	25	2	7	18	32	25	30	20	11	39	25	15	35	38	12	25	4	5	10	40	25
25	27	15	37	26	24	28	4	7	26	22	30	23	29	26	34	18	32	20	26	1	10	14	38	26	17	35	9	2	26	3	8	19	33	26	31	21	12	40	26	16	36	39	13	26	5	6	11	41	26
26	28	16	38	27	25	29	5	8	27	23	31	24	30	27	35	19	33	21	27	2	11	15	39	27	18	36	10	3	27	4	9	20	34	27	32	22	13	41	27	17	37	40	14	27	6	7	12	1	27
27	29	17	39	28	26	30	6	9	28	24	32	25	31	28	36	20	34	22	28	3	12	16	40	28	19	37	11	4	28	5	10	21	35	28	33	23	14	1	28	18	38	41	15	28	7	8	13	2	28
28	30	18	40	29	27	31	7	10	29	25	33	26	32	29	37	21	35	23	29	4	13	17	41	29	20	38	12	5	29	6	11	22	36	29	34	24	15	2	29	19	39	1	16	29	8	9	14	3	29
29	31	19	41	30	28	32	8	11	30	26	34	27	33	30	38	22	36	24	30	5	14	18	1	30	21	39	13	6	30	7	12	23	37	30	35	25	16	3	30	20	40	2	17	30	9	10	15	4	30
30	32	20	1	31	29	33	9	12	31	27	35	28	34	31	39	23	37	25	31	6	15	19	2	31	22	40	14	7	31	8	13	24	38	31	36	26	17	4	31	21	41	3	18	31	10	11	16	5	31
31	33	21	2	32	30	34	10	13	32	28	36	29	35	32	40	24	38	26	32	7	16	20	3	32	23	41	15	8	32	9	14	25	39	32	37	27	18	5	32	22	1	4	19	32	11	12	17	6	32
32	34	22	3	33	31	35	11	14	33	29	37	30	36	33	41	25	39	27	33	8	17	21	4	33	24	1	16	9	33	10	15	26	40	33	38	28	19	6	33	23	2	5	20	33	12	13	18	7	33
33	35	23	4	34	32	36	12	15	34	30	38	31	37	34	1	26	40	28	34	9	18	22	5	34	25	2	17	10	34	11	16	27	41	34	39	29	20	7	34	24	3	6	21	34	13	14	19	8	34
34	36	24	5	35	33	37	13	16	35	31	39	32	38	35	2	27	41	29	35	10	19	23	6	35	26	3	18	11	35	12	17	28	1	35	40	30	21	8	35	25	4	7	22	35	14	15	20	9	35
35	37	25	6	36	34	38	14	17	36	32	40	33	39	36	3	28	1	30	36	11	20	24	7	36	27	4	19	12	36	13	18	29	2	36	41	31	22	9	36	26	5	8	23	36	15	16	21	10	36
36	38	26	7	37	35	39	15	18	37	33	41	34	40	37	4	29	2	31	37	12	21	25	8	37	28	5	20	13	37	14	19	30	3	37	1	32	23	10	37	27	6	9	24	37	16	17	22	11	37
37	39	27	8	38	36	40	16	19	38	34	1	35	41	38	5	30	3	32	38	13	22	26	9	38	29	6	21	14	38	15	20	31	4	38	2	33	24	11	38	28	7	10	25	38	17	18	23	12	38
38	40	28	9	39	37	41	17	20	39	35	2	36	1	39	6	31	4	33	39	14	23	27	10	39	30	7	22	15	39	16	21	32	5	39	3	34	25	12	39	29	8	11	26	39	18	19	24	13	39
39	41	29	10	40	38	1	18	21	40	36	3	37	2	40	7	32	5	34	40	15	24	28	11	40	31	8	23	16	40	17	22	33	6	40	4	35	26	13	40	30	9	12	27	40	19	20	25	14	40
40	1	30	11	41	39	2	19	22	41	37	4	38	3	41	8	33	6	35	41	16	25	29	12	41	32	9	24	17	41	18	23	34	7	41	5	36	27	14	41	31	10	13	28	41	20	21	26	15	41
