22 11 21 21 0
 1  2 A  3  4 B  5  6 C  7  8 D  9 10 E 11 12 A 13 14 B 15 16 C 17 18 D 19 20 E 21 22 A
 5  8 A  9  1 B  2 10 C  4 22 D  3  6 E 15 18 A 20 17 B 12 19 C 11 14 D 16 13 E 21  7 B
10  4 A  6 22 B  8  1 C  9  5 D  7  2 E 19 14 A 11 16 B 18 13 C 15 20 D 17 12 E 21  3 C
 3  9 A  5  2 B  7  4 C  6  1 D  8 22 E 13 20 A 12 15 B 17 14 C 19 16 D 18 11 E 21 10 D
 7  6 A  8 10 B 22  9 C  2  3 D  4  1 E 17 16 A 18 19 B 20 11 C 12 13 D 14 15 E  5 21 E
 2 22 F 13  4 G  6 15 H  8 17 I 19  9 J  1 12 F 14  3 G  5 16 H  7 18 I 20 10 J 21 11 F
 8 15 F  9  7 G 19  2 H 11  4 I 13  6 J 18  5 F 20  1 G 12 10 H 22 14 I  3 16 J 17 21 G
19  4 F 11  6 G  8  3 H 15  9 I 17  2 J 14 10 F 22 16 G  1 18 H  5 20 I 12  7 J 21 13 H
13  9 F  2 15 G  4 17 H  6 10 I  8 11 J 20  3 F  5 12 G 14  7 H 16  1 I 22 18 J 19 21 I
 6 17 F 19  8 G 11  9 H  2 13 I  4  5 J  7 16 F 10 18 G 22 20 H  3 12 I  1 14 J 15 21 J
20  6 K 21 14 L  8  9 M 18 12 N 16  2 O 19  7 K  5  1 L 13 17 M 22  3 N 11 10 O  4 15 K
18 14 K  6 12 L 16 21 M 20  8 N  4  9 O  3  5 K 19 22 L 10  1 M  7 13 N 15 17 O  2 11 L
 2  8 K 18  9 L 12 14 M  4 16 N 21  6 O 11 13 K  3 17 L  5 22 M 15 10 N 19  1 O  7 20 M
16  9 K  4  8 L 18  2 M  6 14 N 20 12 O 17 10 K 15 13 L 11  3 M  5 19 N 22  7 O  1 21 N
12 21 K 20 16 L  4  6 M  9  2 N 18  8 O  1 22 K 10  7 L 19 15 M 11 17 N 13  3 O 14  5 O
21  2 P  4 20 Q  8 12 R  9 14 S 18 16 T  6 19 U  1 11 P  7 15 Q 22 13 R  5 17 S 10  3 T
 9 17 P 12 16 Q  6  2 R  4 18 S  8 21 T 14 20 U 22 10 Q 19 11 R 15  3 S  1 13 T  5  7 U
16  6 P 13  8 Q  9 20 R  2 12 S 14  4 T 18 21 U 17  7 R 11 22 S 15  5 T  1  3 U 19 10 P
12  4 P  2 14 Q 18  3 R 21 20 S  9  6 T 16  8 U  1  7 S 19 17 T 13 10 U 15 22 P  5 11 Q
14  8 P 18  6 Q 21  4 R 16 10 S  2 20 T 12  9 U 11  7 T 17 22 U  5 13 P 19  3 Q  1 15 R
20 18 P  9 21 Q 16 14 R  8  6 S 12 22 T  2  4 U 15 11 U  7  3 P  1 17 Q 10  5 R 13 19 S
