24 12 23 23 0
 1  2 A  3  4 B  5  6 C  7  8 D  9 10 E 11 12 F 13 14 A 15 16 B 17 18 C 19 20 D 21 22 E 23 24 F
 4  6 A  5  2 B  3  1 C 10 12 D 11  8 E  9  7 F 18 15 A 14 17 B 16 13 C 22 24 D 23 19 E 21 20 F
 3  5 A  1  6 B  4  2 C 11  9 D 12  7 E  8 10 F 17 16 A 13 18 B 14 15 C 23 21 D 20 24 E 19 22 F
 8 19 A  9 21 B 24 12 C  2 14 D  3 16 E 18  6 F 20  7 A 10 22 B 11 23 C 13  1 D  4 15 E 17  5 F
21 12 A 24  8 B  9 19 C  6 16 D 18  2 E  3 14 F 22 11 A 23  7 B 20 10 C  5 15 D  1 17 E  4 13 F
24  9 A 19 12 B  8 21 C  3 18 D  6 14 E  2 16 F 10 23 A 20 11 B 22  7 C  4 17 D  5 13 E 15  1 F
13  2 G  3 15 H  6 17 I  1 14 J 16  4 K  5 18 L 20  8 G  9 22 H 23 12 I  7 19 J 21 10 K 11 24 L
 6 15 G  2 17 H  3 13 I 16  5 J  1 18 K 14  4 L 22 12 G  8 23 H 20  9 I 11 21 J  7 24 K 10 19 L
17  3 G  6 13 H 15  2 I 18  4 J  5 14 K  1 16 L  9 23 G 12 20 H  8 22 I 10 24 J 19 11 K 21  7 L
 1  7 G 10  4 H 11  5 I  2  8 J  3  9 K  6 12 L 19 14 G 21 16 H 24 18 I 20 13 J 22 15 K 17 23 L
10  5 G  1 11 H  7  4 I  9  6 J 12  2 K  3  8 L 21 18 G 24 14 H 16 19 I 17 22 J 23 13 K 15 20 L
11  4 G  5  7 H 10  1 I  3 12 J  8  6 K  2  9 L 16 24 G 19 18 H 21 14 I 23 15 J 17 20 K 22 13 L
 7  2 M 10  3 N  6 11 O  8  1 P  4  9 Q  5 12 R 19 13 M 21 15 N 24 17 O 14 20 P 16 22 Q 18 23 R
10  6 M 11  2 N  3  7 O  9  5 P  1 12 Q  8  4 R 15 24 M 17 19 N 21 13 O 16 23 P 18 20 Q 14 22 R
 3 11 M  7  6 N  2 10 O 12  4 P  5  8 Q  9  1 R 21 17 M 24 13 N 19 15 O 18 22 P 14 23 Q 20 16 R
20  1 M 22  4 N 23  5 O 19  2 P 21  3 Q  6 24 R 14  8 M  9 16 N 18 12 O 13  7 P 10 15 Q 17 11 R
22  5 M 23  1 N 20  4 O 21  6 P 24  2 Q 19  3 R 12 16 M 18  8 N 14  9 O 11 15 P  7 17 Q 13 10 R
 4 23 M  5 20 N 22  1 O  3 24 P 19  6 Q 21  2 R  9 18 M 12 14 N 16  8 O 10 17 P 11 13 Q  7 15 R
 2  3 S 20  6 S 22 23 S  4  1 T  5 19 T 21 24 T 14 16 U  7 18 U 11 10 U 13 15 V 17  8 V 12  9 V
 2  6 T 20 22 T 23  3 T  1  5 U 21 19 U 24  4 U 14 18 V  7 10 V 11 16 V 13 17 W  9  8 W 15 12 W
 2 20 U 22  3 U 23  6 U 19  1 V 21  4 V 24  5 V  7 14 W 16 10 W 18 11 W  8 13 S 15  9 S 12 17 S
 2 22 V  3  6 V 20 23 V 21  1 W  5  4 W 24 19 W 10 14 S 18 16 S 11  7 S 13  9 T 17 15 T 12  8 T
 2 23 W  3 20 W 22  6 W 24  1 S 19  4 S  5 21 S 14 11 T 16  7 T 10 18 T 13 12 U  8 15 U  9 17 U
