26 13 25 25 0
 1  2 A  3  4 B  5  6 C  7  8 D  9 10 E 11 12 F 13 14 A 15 16 B 17 18 C 19 20 D 21 22 E 23 24 F 25 26 A
 5 11 A 12  7 B  1 10 C  3  9 D  6  8 E  4  2 F 19 15 A 20 24 B 22 16 C 26 21 D 13 17 E 18 14 F 23 25 B
 8  4 A  9  5 B  7  3 C  2 11 D  1 12 E 10  6 F 23 16 A 14 21 B 13 15 C 24 17 D 26 18 E 19 22 F 25 20 C
 6  3 A 10 11 B 12  4 C  5  1 D  2  7 E  9  8 F 21 17 A 22 18 B 26 24 C 14 16 D 19 23 E 13 20 F 25 15 D
12  6 D  1  8 B  9  2 C  4 10 D  3 11 E  5  7 F 20 18 A 19 17 B 21 23 C 13 22 D 15 24 E 26 16 F 25 14 E
12  9 A  2  6 B  8 11 C 10  7 A  5  4 E  3  1 F 22 24 A 26 13 B 14 19 C 23 18 D 16 20 E 21 15 F 17 25 F
 1 14 G 15  4 H  6 17 I  7 20 J 26  9 K 23 11 L 24 10 G  3 18 H  2 16 I  8 21 J  5 22 K 12 13 L 19 25 G
17 11 G  7 23 H  1 26 I 15  9 J  6 20 K  4 14 L 18  8 G 21 12 H 22  3 I 19  5 J 10 16 K 24  2 L 13 25 H
20  4 G  9 17 H  7 15 I 11 14 J  1 23 K  6 26 L 13  3 G  5 24 H 10 18 I 12 16 J 19  2 K 22  8 L 21 25 I
15  6 G 11 26 H  4 23 I  1 17 J 14  7 K  9 20 L 16  5 G  2 22 H 19 12 I  3 24 J 13  8 K 21 10 L 18 25 J
 6 23 J 20  1 H  9 14 I  4 26 J 15 11 K 17  7 L 21  2 G  8 16 H  5 13 I 22 10 J 18 12 K  3 19 L 24 25 K
 9 23 G 14  6 H 11 20 I  7 26 G 17  4 K 15  1 L 12 22 G 10 19 H 24  8 I 13  2 J  3 21 K  5 18 L 16 25 L
24  1 M  4 18 N 16  6 O  7 21 P 19  9 Q 13 11 R 14 12 M 15  5 N  3 17 O 10 20 P 26 22 Q  2 23 R 25  8 M
11 16 M  7 13 N  1 19 O  9 18 P 21  6 Q 24  4 R 20  5 M 10 23 N 22 15 O  8 26 P 14  3 Q 12 17 R 25  2 N
21  4 M 16  9 N  7 18 O 11 24 P  1 13 Q 19  6 R  2 15 M 26 12 N  5 14 O  3 23 P  8 17 Q 22 20 R 10 25 O
 6 18 M 19 11 N 13  4 O 16  1 P 24  7 Q 21  9 R  3 26 M 22 17 N 23  8 O 12 15 P 20  2 Q 10 14 R  5 25 P
 6 13 P 21  1 N 24  9 O 19  4 P 11 18 Q 16  7 R 17 10 M 20  3 N 26  2 O 14 22 P  5 23 Q  8 15 R 12 25 Q
13  9 M  6 24 N 11 21 O 19  7 M  4 16 Q 18  1 R 22 23 M 14  8 N 20 12 O 17  2 P 15 10 Q 26  5 R  3 25 R
14 24 S 26 20 T  3 15 U 13 16 V 17 23 W  2 18 X 19 21 Y  4  7 S  6 25 T 22 11 U 10  5 V 12  8 W  1  9 X
21 18 S 13 10 T 17 16 U 12 23 V 15 20 W 19 24 X 14 26 Y  8  3 T  7  1 U  9 22 V  4  6 W 25 11 X  5  2 Y
23 15 S 19 16 T 12 24 U 20 21 V  2 14 W 17 26 X 13 18 Y  5  8 U  6 11 V 10  3 W  4 22 X  9  7 Y  1 25 S
26 10 S 24 21 T 20 14 U  8 19 V 16 18 W 23 13 X 17 15 Y  3  2 V 11  1 W  7  6 X 22 25 Y 12  5 S  9  4 T
17 20 S 23 14 T 18 19 U 26 15 V 13 24 W 21 16 X  8 10 Y 22  7 W  3  5 X  1  6 Y 11  9 S  2 12 T  4 25 U
16  3 S 17  5 T 21 13 U 24 18 V 19 26 W 15 14 X 20 23 Y 10 12 X  4 11 Y  2  8 S 22  1 T  6  9 U 25  7 V
13 19 S 15 18 T 26 23 U 17 14 V  5 21 W  8 20 X 16 24 Y  3 12 Y  6 22 S  7 11 T  2 10 U  4  1 V 25  9 W
