18 9 17 17 0
 1  2 A  3  4 B  5  6 C  7  8 D  9 10 A 11 12 B 13 14 C 15 16 D 17 18 A
 7  5 A  6  8 B  4  2 C  1  3 D 16 14 A 13 10 B 18 11 C  9 12 D 15 17 B
 8  4 A  5  1 B  7  3 C  2  6 D 15 11 A  9 14 B 10 16 C 18 13 D 12 17 C
 3  6 A  2  7 B  8  1 C  4  5 D 13 12 A 18 16 B  9 15 C 10 11 D 17 14 D
 2 18 E  3 12 F  5 14 G  8 15 H  1 10 E  4 11 F  6 13 G  7 16 H  9 17 E
 5 15 E 14  8 F  2 12 G  3 18 H  7 13 E 10  6 F  4  9 G 11  1 H 16 17 F
12  8 E 18  5 F 15  3 G  2 14 H 16  4 E 13  1 F 10  7 G  9  6 H 17 11 G
 3 14 E  2 15 F  8 18 G  5 12 H  6 11 E  9  7 F 16  1 G 10  4 H 17 13 H
 2  9 I  3 11 J  5 13 K 16  8 L 10 12 I 15  4 J  6 18 K 14  7 L 17  1 I
16  5 I 13  8 J 11  2 K  9  3 L  6 14 I 10 18 J 15  1 K 12  4 L  7 17 J
11  8 I  5  9 J 16  3 K  2 13 L  7 15 I 12  6 J 14 10 K 18  1 L  4 17 K
13  3 I  2 16 J  9  8 K  5 11 L 18  4 I 14  1 J  7 12 K 15 10 L 17  6 L
10  2 M  3  8 M 18  9 N 15 13 N 12  1 O 14  4 O 16  6 P 11  7 P 17  5 M
16 12 N 14 11 N  6 15 O  7 18 O  9  1 P 13  4 P  3  5 Q  8 10 Q  2 17 Q
 2  3 O  8  5 O 12 18 P 15 14 P 11  9 Q 16 13 Q  4  1 M  6  7 M 17 10 O
 2  5 P 10  3 P 18 14 Q 12 15 Q  9 13 M 11 16 M  6  1 N  7  4 N  8 17 P
 7  1 Q  4  6 Q 15 18 M 12 14 M  8  2 N 10  5 N  9 16 O 13 11 O  3 17 N
